Org District,Total Wards 2025,NDA - 2025 Result Wards,Target Wards,NDA - 2020 Wards,NDA 2025 Vote,2025 Vote Share,Target Vote Share,2024 Votes,2024 Vote Share,2020 Votes,2020 Vote Share
Alappuzha North,71,18,42,12,15246,24.77%,34.20,15194,26.70,14076,22.83
Alappuzha South,90,27,57,20,24526,29.73%,39.22,18046,23.38,23445,27.15
Idukki North,28,7,19,7,1545,26.88%,36.02,1115,14.00,1258,27.45
Idukki South,14,4,4,2,1705,22.97%,18.00,1030,17.00,1063,14.16
Kannur South,20,3,8,3,5100,25.23%,25.22,3581,17.80,4959,24.22
Kasaragod,140,32,66,35,38028,26.54%,37.27,46430,32.97,38355,28.10
Kollam East,61,15,39,12,16465,26.96%,39.00,8888,18.97,17332,27.62
Kollam West,156,46,90,28,42721,27.67%,39.00,34734,24.28,40730,25.40
Kottayam East,55,15,26,7,12636,24.81%,32.90,12029,28.93,11722,21.23
Kottayam West,31,6,11,3,3795,18.59%,29.60,4188,22.35,3126,14.62
Malappuram West,21,1,2,0,1537,6.24%,11.70,2352,10.70,1525,6.58
Palakkad East,150,33,58,26,38450,26.51%,36.51,34825,24.91,32465,22.74
Palakkad West,43,9,26,9,14850,32.61%,39.78,14163,32.85,14575,32.88
Pathanamthitta,87,22,38,17,11789,22.20%,39.00,12537,26.07,10801,19.44
Thiruvananthapuram North,82,25,48,12,19160,26.95%,40.90,16800,35.80,16976,22.89
Thiruvananthapuram South,58,16,28,5,15204,24.41%,39.60,19167,34.43,13527,23.19
Thrissur City,36,8,19,6,7942,24.38%,34.70,10928,33.70,8419,25.73
Thrissur North,16,6,10,2,4704,30.90%,39.00,2924,22.50,3599,23.95
Thrissur South,63,19,39,12,19016,34.72%,42.08,17232,32.43,16668,29.47
Grand Total,1222,312,630,218,294419,26.36%,36.96,276163,27.16,274621,24.18
