Org District,Total Wards 2025,NDA - 2025 Result Wards,Target Wards,NDA - 2020 Wards,NDA 2025 Vote,2025 Vote Share,Target Vote Share,2024 Vote Share,2020 Vote Share,2024 Votes,2020 Votes
Alappuzha North,687,86,312,57,116041,18.76%,25.81,21.97,16.37,133636,106290
Alappuzha South,566,110,312,89,120844,24.18%,36.50,26.92,22.05,119929,117268
Ernakulam City,245,14,84,11,27391,11.46%,20.69,12.33,10.54,26007,25385
Ernakulam East,594,11,143,10,31111,5.72%,11.69,10.37,5.78,44924,32362
Ernakulam North,628,32,199,24,71950,10.93%,15.30,11.81,10.35,67057,69909
Idukki North,370,15,255,13,15193,7.44%,13.57,9.71,6.99,9220,12784
Idukki South,464,13,78,8,25960,7.14%,15.01,11.26,6.36,37080,23280
Kannur North,675,6,65,6,40441,6.10%,11.85,10.83,5.50,75856,36651
Kannur South,596,21,95,19,64311,10.75%,13.66,11.30,10.48,68057,62054
Kasaragod,725,109,225,109,129896,17.85%,26.66,23.54,17.38,161204,122647
Kollam East,769,81,365,88,130795,18.08%,26.23,16.09,18.91,101352,142080
Kollam West,545,89,238,63,118146,20.19%,29.57,21.10,19.36,109945,117698
Kottayam East,567,57,226,38,78813,16.82%,28.65,21.53,13.55,92302,69894
Kottayam West,656,59,248,50,73926,14.46%,24.66,20.11,11.79,96708,66010
Kozhikode City,161,6,45,5,35925,14.40%,20.49,16.89,15.43,37103,35502
Kozhikode North,655,9,92,5,55269,7.97%,10.48,7.94,8.41,54503,57615
Kozhikode Rural,527,8,119,8,53683,8.92%,14.63,12.17,8.41,67766,49280
Malappuram Central,636,3,31,4,23466,3.18%,8.07,7.07,3.54,45337,25091
Malappuram East,667,1,44,0,22473,2.85%,8.85,7.85,3.05,52805,22919
Malappuram West,698,12,87,11,56363,6.90%,15.04,11.56,7.35,87061,56495
Palakkad East,830,97,210,76,150095,17.98%,26.34,21.91,16.31,164342,133582
Palakkad West,806,49,258,37,113233,14.28%,22.01,19.62,14.02,150810,110616
Pathanamthitta,833,142,357,111,125539,20.02%,32.04,26.01,17.61,151380,118051
Thiruvananthapuram North,702,105,400,88,137169,20.64%,35.60,31.54,19.51,181427,131720
Thiruvananthapuram South,684,124,326,105,158721,21.63%,34.51,29.98,20.72,196006,151223
Thrissur City,570,68,320,59,129494,22.68%,40.47,39.31,22.03,204820,129327
Thrissur North,530,54,201,37,91246,17.52%,26.54,21.18,17.27,97852,88183
Thrissur South,501,49,216,37,88554,19.24%,27.89,19.82,17.50,85516,83627
Wayanad,450,18,95,13,59095,13.29%,20.91,18.13,11.57,67901,50977
Grand Total,17337,"1,448",5646,1181,2345143,14.20%,22.69,18.60,13.31,2787905,2248520
