Org District,Total Wards 2025,NDA - 2025 Result Wards,Target Wards,NDA - 2020 Wards,NDA 2025 Vote,2025 Vote Share,2024 Votes,2024 Vote Share,2020 Votes,2020 Vote Share
Alappuzha South,55,14,29,15,7917,26.24%,5946,24.94,7941,23.94
Idukki North,38,9,21,7,6718,20.77%,0,17.39,5360,16.39
Kasaragod,39,12,18,14,7047,25.42%,8338,30.12,8064,29.12
Kollam West,32,6,17,4,5496,24.99%,6450,28.60,4772,20.48
Kottayam West,36,6,16,6,4072,15.96%,5160,23.40,3263,12.52
Malappuram West,45,8,14,7,6367,15.15%,6546,17.70,5700,14.14
Palakkad West,74,24,54,17,19785,31.58%,8274,34.10,15685,25.61
Thiruvananthapuram North,34,10,21,11,6180,27.30%,8229,39.00,6398,26.97
Thrissur South,46,18,36,21,18538,40.39%,21512,39.67,17822,38.67
Grand Total,399,107,226,102,82120,25.96%,70455,28.54,75005,23.40
