Org District,Total Wards 2025,NDA - 2025 Result Wards,Target Wards,NDA - 2020 Wards,NDA 2025 Vote,2025 Vote Share,2024 Votes,2024 Vote Share,2020 Votes,2020 Vote Share
Alappuzha North,89,9,36,7,19083,15.75%,28783,25.35,18256,14.74
Alappuzha South,130,25,62,23,20000,23.82%,25773,29.57,19342,21.40
Ernakulam City,136,21,54,15,22226,15.50%,15865,20.03,18385,12.67
Ernakulam East,117,3,32,1,3274,4.79%,8020,13.65,2589,3.28
Ernakulam North,194,17,68,17,17223,14.06%,18068,15.93,12055,9.13
Idukki North,38,9,21,7,6718,20.77%,0,17.39,5360,16.39
Idukki South,35,0,11,1,1695,7.00%,3091,15.10,2161,8.77
Kannur North,141,3,13,3,6555,5.62%,13685,11.48,5735,6.07
Kannur South,157,14,60,17,26751,17.64%,11599,18.98,26681,17.98
Kasaragod,120,16,29,19,14386,15.18%,20320,22.44,14161,15.43
Kollam East,66,6,22,5,5147,12.14%,6875,18.80,5572,12.46
Kollam West,69,12,28,8,11202,21.09%,15035,29.20,11232,19.72
Kottayam East,66,8,18,3,4969,9.04%,3979,11.00,4847,8.44
Kottayam West,142,15,49,18,21239,14.45%,11109,23.70,20096,13.06
Kozhikode City,71,1,16,1,6208,10.21%,8111,15.20,7050,12.22
Kozhikode North,131,8,34,7,18361,13.80%,15982,14.72,17920,13.64
Kozhikode Rural,71,1,11,1,3280,5.48%,5839,11.65,2433,4.14
Malappuram Central,155,2,9,3,3668,2.92%,8453,8.90,4077,3.47
Malappuram East,126,1,9,1,3268,2.71%,11095,10.87,4245,3.50
Malappuram West,224,14,37,14,17792,8.02%,24175,13.42,18241,8.40
Palakkad East,83,25,38,28,28666,21.14%,45935,30.55,29994,21.11
Palakkad West,166,27,84,23,26400,18.66%,19574,25.24,23182,17.27
Pathanamthitta,135,21,59,25,17286,17.38%,22342,31.98,17238,16.22
Thiruvananthapuram North,108,20,64,22,20669,25.10%,29044,38.10,21431,25.22
Thiruvananthapuram South,46,7,27,9,10996,22.91%,14950,33.40,11384,23.24
Thrissur North,160,11,58,11,26554,17.73%,40132,29.30,25755,17.52
Thrissur South,126,25,71,29,31379,24.70%,24331,31.06,29149,22.42
Wayanad,103,3,14,0,7288,9.47%,12695,19.20,6272,8.12
Grand Total,3205,324,1034,318,402283,,464860,,384843,
