Org District,Total Wards 2025,NDA - 2025 Result Wards,Target Wards,NDA - 2020 Wards,NDA 2025 Vote,2025 Vote Share,Target Vote Share,2024 Votes,2024 Vote Share,2020 Votes,2020 Vote Share
Alappuzha North,19,4,4,2,3601,19.84%,30.10,4884,29.10,3231,17.83
Alappuzha South,51,13,30,8,10757,23.64%,33.67,10187,25.40,9901,20.75
Ernakulam East,15,1,7,1,1244,9.90%,20.30,1965,19.30,984,7.46
Ernakulam North,15,1,4,0,1273,10.00%,17.30,1913,16.30,1115,8.28
Idukki North,14,1,14,1,712,10.31%,12.05,NA,NA,816,11.05
Kannur South,69,9,17,8,11533,15.96%,21.26,8827,13.78,11575,16.26
Kasaragod,54,9,19,10,11217,20.70%,33.13,13183,26.23,11466,20.98
Kollam East,49,11,27,8,9609,23.75%,31.93,5718,16.87,9352,21.89
Kottayam East,38,8,21,3,5749,18.27%,39.00,5366,22.00,3716,10.55
Kottayam West,42,7,21,8,6601,21.99%,32.17,5392,20.10,5487,17.27
Malappuram West,21,2,8,3,3773,13.73%,39.00,0,18.90,3463,15.32
Palakkad East,35,4,8,4,8653,24.67%,34.60,7004,29.70,6688,19.97
Palakkad West,21,3,14,3,6085,26.84%,39.00,6397,31.20,6373,28.96
Pathanamthitta,147,29,69,28,23906,19.93%,32.14,27986,25.76,23192,18.76
Thiruvananthapuram North,58,15,32,13,13699,25.58%,41.17,17404,36.77,12433,22.71
Thiruvananthapuram South,66,14,30,8,20909,29.01%,36.10,21495,33.30,18525,25.60
Thrissur City,52,7,30,3,12116,24.91%,41.20,19802,40.20,10441,21.30
Thrissur South,38,7,18,5,9018,22.83%,39.00,5518,17.00,8452,20.35
Grand Total,804,145,373,116,160455,21.18%,32.73,163041,25.24,147210,19.04
